sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,sy_dist,sy_disterr1,sy_disterr2
1,6,Transit,15.231915,0.000115,-9.5E-05,0.1039,0.0031,-0.0031,2.287,0.108,-0.11,7.72,1.67,-1.52,3.6,1.2,-0.83,,,,,,,521,11,-11,0,K,4316,70,-70,0.65,0.01,-0.01,0.65,0.03,-0.03,-0.23,0.05,-0.05,0,4.45,0.15,-0.15,7.1,6.1,-5.3,0,3.31,0.24,-0.24,62.699,0.2074,-0.2061
1,6,Transit,20.7095,0.00014,-0.00011,0.1275,0.0038,-0.0039,2.87,0.14,-0.13,3.94,1.31,-1.62,0.915,0.36,-0.37,,,,,,,470,10,-10,0,K,4316,70,-70,0.65,0.01,-0.01,0.65,0.03,-0.03,-0.23,0.05,-0.05,0,4.45,0.15,-0.15,7.1,6.1,-5.3,0,3.31,0.24,-0.24,62.699,0.2074,-0.2061
2,5,Radial Velocity,14.6516,0.0001,-0.0001,0.1134,0.0006,-0.0006,,,,,,,,,,0,0.01,-0.01,,,,,,,,,5172,18,-18,0.94,0.01,-0.01,0.91,0.01,-0.01,0.35,0.1,-0.1,0,4.43,0.02,-0.02,,,,,,,,12.5855,0.0124,-0.0123
2,5,Radial Velocity,44.3989,0.0042,-0.0043,0.2373,0.0013,-0.0013,,,,,,,,,,0.03,0.02,-0.02,,,,,,,,,5172,18,-18,0.94,0.01,-0.01,0.91,0.01,-0.01,0.35,0.1,-0.1,0,4.43,0.02,-0.02,,,,,,,,12.5855,0.0124,-0.0123
2,5,Radial Velocity,5574.2,93.8,-88.6,5.957,0.074,-0.071,,,,,,,,,,0.13,0.02,-0.02,,,,,,,,,5172,18,-18,0.94,0.01,-0.01,0.91,0.01,-0.01,0.35,0.1,-0.1,0,4.43,0.02,-0.02,,,,,,,,12.5855,0.0124,-0.0123
2,5,Radial Velocity,0.7365474,1.3E-06,-1.4E-06,0.01544,5E-05,-5E-05,1.875,0.029,-0.029,7.99,0.32,-0.33,6.66,0.43,-0.4,0.05,0.03,-0.03,,,,,,,,,5172,18,-18,0.94,0.01,-0.01,0.91,0.01,-0.01,0.35,0.1,-0.1,0,4.43,0.02,-0.02,,,,,,,,12.5855,0.0124,-0.0123
2,5,Radial Velocity,259.88,0.29,-0.29,0.7708,0.0043,-0.0044,,,,,,,,,,0.08,0.05,-0.04,,,,,,,,,5172,18,-18,0.94,0.01,-0.01,0.91,0.01,-0.01,0.35,0.1,-0.1,0,4.43,0.02,-0.02,,,,,,,,12.5855,0.0124,-0.0123
3,5,Radial Velocity,7.2004,0.0017,-0.0017,0.0505,0.0044,-0.0053,,,,,,,,,,0.13,0.1,-0.11,,,,,,,,M1.5 V,3350,50,-50,,,,0.33,0.02,-0.02,-0.55,0.1,-0.1,0,4.69,0.1,-0.1,2,,,-1,,,,7.24396,0.00486,-0.00485
3,5,Radial Velocity,28.14,0.053,-0.065,0.125,0.012,-0.013,,,,,,,,,,0.02,0.15,-0.02,,,,,,,,M1.5 V,3350,50,-50,,,,0.33,0.02,-0.02,-0.55,0.1,-0.1,0,4.69,0.1,-0.1,2,,,-1,,,,7.24396,0.00486,-0.00485
3,5,Radial Velocity,62.24,0.55,-0.55,0.213,0.019,-0.022,,,,,,,,,,0.02,0.22,-0.02,,,,,,,,M1.5 V,3350,50,-50,,,,0.33,0.02,-0.02,-0.55,0.1,-0.1,0,4.69,0.1,-0.1,2,,,-1,,,,7.24396,0.00486,-0.00485
