sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,sy_dist,sy_disterr1,sy_disterr2,
1,6,Transit,46.6888,0.0027,-0.0032,0,0.25,0.002,-0.002,0,2.49,0.04,-0.07,0,2,0.8,-0.9,0,0.69,0.29,-0.32,0,0.013,0.011,-0.009,0,,,,,,,,,1,,5663,55,-66,0,1.06,0.02,-0.02,0,0.96,0.03,-0.03,0,,,,,4.37,0.01,-0.02,0,8.5,1.1,-1.4,0,1.122,0.049,-0.06,0,646.346,6.375,-6.375,
1,6,Transit,118.3807,0.001,-0.0006,0,0.466,0.004,-0.004,0,3.33,0.06,-0.08,0,25,,,1,4,,,1,0.15,,,1,,,,,,,,,1,,5663,55,-66,0,1.06,0.02,-0.02,0,0.96,0.03,-0.03,0,,,,,4.37,0.01,-0.02,0,8.5,1.1,-1.4,0,1.122,0.049,-0.06,0,646.346,6.375,-6.375,
2,6,Transit,3.69611525,1.15E-06,-8.7E-07,0,0.0463,0.0009,-0.0015,0,1.868,0.066,-0.034,0,9.7,1.41,-1.44,0,8.2,1.5,-1.3,0,0.03,0.09,-0.03,0,,,,,1105,37,-37,0,0,,5495,50,-50,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.07,0.08,-0.08,0,4.45,0.01,-0.01,0,7.6,3.7,-3.7,0,,,,,282.563,1.776,-1.753,
2,6,Transit,10.85409089,3.03E-06,-2.6E-06,0,0.0949,0.0027,-0.0023,0,3.047,0.064,-0.056,0,12.75,2.17,-2.24,0,2.5,0.5,-0.5,0,0.16,0.01,-0.09,0,,,,,772,26,-26,0,0,,5495,50,-50,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.07,0.08,-0.08,0,4.45,0.01,-0.01,0,7.6,3.7,-3.7,0,,,,,282.563,1.776,-1.753,
2,6,Transit,77.61130017,0.00012305,-0.00011588,0,0.3506,0.0081,-0.0101,0,2.744,0.073,-0.055,0,10.07,3.97,-3.7,0,2.7,1.1,-1,0,,,,,,,,,401,13,-13,0,0,,5495,50,-50,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.07,0.08,-0.08,0,4.45,0.01,-0.01,0,7.6,3.7,-3.7,0,,,,,282.563,1.776,-1.753,
2,6,Transit,6.09852281,6.08E-06,-1.351E-05,0,0.0639,0.0019,-0.0014,0,0.865,0.026,-0.028,0,,,,,,,,,,,,,,,,,,,,,0,,5495,50,-50,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.07,0.08,-0.08,0,4.45,0.01,-0.01,0,7.6,3.7,-3.7,0,,,,,282.563,1.776,-1.753,
2,6,Transit,19.57758478,9.037E-05,-0.00012256,0,0.1396,0.0036,-0.0035,0,1.003,0.05,-0.089,0,,,,,,,,,,,,,,,,,,,,,0,,5495,50,-50,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.07,0.08,-0.08,0,4.45,0.01,-0.01,0,7.6,3.7,-3.7,0,,,,,282.563,1.776,-1.753,
2,6,Radial Velocity,34.94,0.038,-0.035,0,0.2055,0.0022,-0.0021,0,,,,,,,,,,,,,0.15,0.01,-0.1,0,,,,,524,12,-12,0,0,,5495,50,-50,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.07,0.08,-0.08,0,4.45,0.01,-0.01,0,7.6,3.7,-3.7,0,,,,,282.563,1.776,-1.753,
1,6,Transit,7.05246,0.0002,-0.00022,0,0.0648,0.0009,-0.0009,0,2.67,0.1,-0.1,0,6.93,1.05,-0.7,0,1.38,0.24,-0.17,0,,,,,,,,,,,,,1,K5,4540,100,-100,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,0.04,0.08,-0.08,0,4.64,0.01,-0.01,0,2,1,-1,0,2.33,0.15,-0.15,0,369.451,2.8945,-2.8945,
1,6,Transit,9.52355,0.00041,-0.00029,0,0.0792,0.0011,-0.0011,0,2.74,0.12,-0.1,0,6.74,1.23,-0.86,0,1.22,0.23,-0.18,0,,,,,,,,,,,,,1,K5,4540,100,-100,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,0.04,0.08,-0.08,0,4.64,0.01,-0.01,0,2,1,-1,0,2.33,0.15,-0.15,0,369.451,2.8945,-2.8945,
